pl_name,hostname,is_control,radius_earth,radius_error_plus,radius_error_minus,catalogue_mass_value_earth,catalogue_mass_class,catalogue_mass_accepted_as_independent,mass_use_reason,hz_conservative_probability,earth2_rank,label,independent_mass_used,covariance_status,mass_radius_correlation,p_rocky_rogers_radius_only,wolfgang_mass_location_earth,wolfgang_intrinsic_scatter_earth,wolfgang_prediction_is_dynamical_mass,zeng_supported_draw_fraction,p_rocky_zeng_fe_si_envelope,p_requires_volatiles_zeng,p_consistent_with_terrestrial_composition_zeng,p_too_dense_for_zeng_cmf_0_to_0p4,otegi_supported_draw_fraction,p_rocky_otegi_equal_prior,p_rocky_otegi_scatter_0p10dex,p_rocky_otegi_scatter_0p30dex,p_rocky_model_min,p_rocky_model_max,p_rocky_model_range,n_rocky_models_supported,composition_evidence_scope
Kepler-758 d,Kepler-758,False,2.12,0.47,-0.33,5.14,inferred_mass_radius,False,mass excluded: only true measured masses support composition inference,0,3513,MODEL-INFERRED,False,unavailable_assumed_zero,,0.1342932294,7.171341157,1.9,False,0,,,,,0,,,,0.1342932294,0.1342932294,,1,radius_only_baseline
KOI-3503 b,KOI-3503,False,1.19,0.24,-0.19,9.2,upper_limit,False,mass excluded: only true measured masses support composition inference,0,3514,MODEL-INFERRED,False,unavailable_assumed_zero,,0.833334521,3.385125809,1.9,False,0,,,,,0,,,,0.833334521,0.833334521,,1,radius_only_baseline
Kepler-529 c,Kepler-529,False,2,0.41,-0.21,4.66,inferred_mass_radius,False,mass excluded: only true measured masses support composition inference,0.00025,3515,MODEL-INFERRED,False,unavailable_assumed_zero,,0.1499594552,6.648179832,1.9,False,0,,,,,0,,,,0.1499594552,0.1499594552,,1,radius_only_baseline
Kepler-481 b,Kepler-481,False,2.5,0.37,-0.29,6.8,inferred_mass_radius,False,mass excluded: only true measured masses support composition inference,0,3516,MODEL-INFERRED,False,unavailable_assumed_zero,,0.02584685556,8.885579879,1.9,False,0,,,,,0,,,,0.02584685556,0.02584685556,,1,radius_only_baseline
TOI-5486 b,TOI-5486,False,3.96824928,0.40461614,-0.3305924,14.9,inferred_mass_radius,False,mass excluded: only true measured masses support composition inference,0,3518,MODEL-INFERRED,False,unavailable_assumed_zero,,2.935681281e-05,16.20102134,1.9,False,0,,,,,0,,,,2.935681281e-05,2.935681281e-05,,1,radius_only_baseline
Kepler-836 b,Kepler-836,False,2.73,0.64,-0.32,7.9,inferred_mass_radius,False,mass excluded: only true measured masses support composition inference,0,3519,MODEL-INFERRED,False,unavailable_assumed_zero,,0.01087469809,9.962657616,1.9,False,0,,,,,0,,,,0.01087469809,0.01087469809,,1,radius_only_baseline
Kepler-107 b,Kepler-107,False,1.536,0.025,-0.025,3.8,measured,True,catalogue class is an independent measured mass,0,3520,MODEL-INFERRED,True,unavailable_assumed_zero,,0.5788990054,4.717070255,1.9,False,0.9435,0.5,0.5,0.2715951245,0.2284048755,0.98775,0.4889029664,0.4404607155,0.498045053,0.4889029664,0.5788990054,0.08999603902,3,independent_mass_and_radius
Kepler-960 b,Kepler-960,False,2.29,0.07,-0.25,5.86,inferred_mass_radius,False,mass excluded: only true measured masses support composition inference,0,3521,MODEL-INFERRED,False,unavailable_assumed_zero,,0.06083816059,7.927748994,1.9,False,0,,,,,0,,,,0.06083816059,0.06083816059,,1,radius_only_baseline
TOI-1117 d,TOI-1117,False,3.27,,,10.71,msini_lower_limit,False,mass excluded: only true measured masses support composition inference,0,3522,MODEL-INFERRED,False,unavailable_assumed_zero,,0.0002363406483,12.59725274,1.9,False,0,,,,,0,,,,0.0002363406483,0.0002363406483,,1,radius_only_baseline
Kepler-1079 b,Kepler-1079,False,1.63,0.33,-0.28,3.29,inferred_mass_radius,False,mass excluded: only true measured masses support composition inference,0,3523,MODEL-INFERRED,False,unavailable_assumed_zero,,0.4616449413,5.095744564,1.9,False,0,,,,,0,,,,0.4616449413,0.4616449413,,1,radius_only_baseline
Kepler-295 c,Kepler-295,False,1.17,0.62,-0.62,1.71,inferred_mass_radius,False,mass excluded: only true measured masses support composition inference,0,3525,MODEL-INFERRED,False,unavailable_assumed_zero,,0.7173864605,3.311352269,1.9,False,0,,,,,0,,,,0.7173864605,0.7173864605,,1,radius_only_baseline
HD 1461 b,HD 1461,False,2.42,,,6.44,msini_lower_limit,False,mass excluded: only true measured masses support composition inference,0,3526,MODEL-INFERRED,False,unavailable_assumed_zero,,0.01630249937,8.51772746,1.9,False,0,,,,,0,,,,0.01630249937,0.01630249937,,1,radius_only_baseline
Kepler-58 c,Kepler-58,False,2.86,,,53,upper_limit,False,mass excluded: only true measured masses support composition inference,0,3528,MODEL-INFERRED,False,unavailable_assumed_zero,,0.001832938942,10.58375084,1.9,False,0,,,,,0,,,,0.001832938942,0.001832938942,,1,radius_only_baseline
K2-181 b,K2-181,False,2.69,0.21,-0.09,7.7,inferred_mass_radius,False,mass excluded: only true measured masses support composition inference,0,3530,MODEL-INFERRED,False,unavailable_assumed_zero,,0.004240378396,9.77331121,1.9,False,0,,,,,0,,,,0.004240378396,0.004240378396,,1,radius_only_baseline
Kepler-1279 b,Kepler-1279,False,1.75,0.88,-0.27,3.71,inferred_mass_radius,False,mass excluded: only true measured masses support composition inference,0,3531,MODEL-INFERRED,False,unavailable_assumed_zero,,0.3200540551,5.588731271,1.9,False,0,,,,,0,,,,0.3200540551,0.3200540551,,1,radius_only_baseline
Kepler-537 b,Kepler-537,False,1.41,0.06,-0.04,2.57,inferred_mass_radius,False,mass excluded: only true measured masses support composition inference,0,3534,MODEL-INFERRED,False,unavailable_assumed_zero,,0.7098570354,4.220351375,1.9,False,0,,,,,0,,,,0.7098570354,0.7098570354,,1,radius_only_baseline
