pl_name,spec_type,authors,reference_url,num_datapoints,instrument,facility,minwavelng,maxwavelng,mintranmid,maxtranmid,note,bibcode,spec_path
KOI-13 b,Eclipse,Changeat et al. 2022,,2,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.6,4.5,,,Figure 2,2022ApJS..260....3C,89/75/69/21/Kepler_13_b_3.155_5219_123.tbl
TrES-3 b,Eclipse,Changeat et al. 2022,,18,Wide Field Camera 3,Hubble Space Telescope satellite,1.1262,1.6237,,,Figure 2,2022ApJS..260....3C,81/84/12/72/TrES_3_b_3.11431_5219_124.tbl
WASP-103 b,Eclipse,Changeat et al. 2022,,25,Wide Field Camera 3,Hubble Space Telescope satellite,1.1263,1.6295,,,Figure 2,2022ApJS..260....3C,54/50/39/05/WASP_103_b_3.11649_5219_126.tbl
WASP-103 b,Eclipse,Changeat et al. 2022,,2,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.6,4.5,,,Figure 2,2022ApJS..260....3C,26/36/43/52/WASP_103_b_3.11649_5219_127.tbl
TrES-3 b,Eclipse,Changeat et al. 2022,,4,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.6,8.0,,,Figure 2,2022ApJS..260....3C,61/47/19/78/TrES_3_b_3.11431_5219_125.tbl
WASP-121 b,Eclipse,Changeat et al. 2022,,38,Wide Field Camera 3,Hubble Space Telescope satellite,0.8125,1.6295,,,Figure 2,2022ApJS..260....3C,35/39/97/30/WASP_121_b_3.11900_5219_128.tbl
WASP-12 b,Eclipse,Changeat et al. 2022,,18,Wide Field Camera 3,Hubble Space Telescope satellite,1.1262,1.6237,,,Figure 2,2022ApJS..260....3C,73/01/86/11/WASP_12_b_3.11441_5219_130.tbl
WASP-12 b,Eclipse,Changeat et al. 2022,,4,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.6,8.0,,,Figure 2,2022ApJS..260....3C,19/48/05/91/WASP_12_b_3.11441_5219_131.tbl
WASP-18 b,Eclipse,Changeat et al. 2022,,25,Wide Field Camera 3,Hubble Space Telescope satellite,1.1263,1.6295,,,Figure 2,2022ApJS..260....3C,88/24/92/52/WASP_18_b_3.11447_5219_132.tbl
WASP-18 b,Eclipse,Changeat et al. 2022,,4,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.6,8.0,,,Figure 2,2022ApJS..260....3C,98/07/29/44/WASP_18_b_3.11447_5219_133.tbl
WASP-19 b,Eclipse,Changeat et al. 2022,,25,Wide Field Camera 3,Hubble Space Telescope satellite,1.1263,1.6295,,,Figure 2,2022ApJS..260....3C,31/17/62/13/WASP_19_b_3.11448_5219_134.tbl
WASP-19 b,Eclipse,Changeat et al. 2022,,4,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.6,8.0,,,Figure 2,2022ApJS..260....3C,66/24/88/92/WASP_19_b_3.11448_5219_135.tbl
WASP-33 b,Eclipse,Changeat et al. 2022,,2,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.6,4.5,,,Figure 2,2022ApJS..260....3C,14/85/73/85/WASP_33_b_3.11460_5219_137.tbl
WASP-43 b,Eclipse,Changeat et al. 2022,,25,Wide Field Camera 3,Hubble Space Telescope satellite,1.1263,1.6295,,,Figure 2,2022ApJS..260....3C,52/97/45/23/WASP_43_b_3.11469_5219_138.tbl
WASP-43 b,Eclipse,Changeat et al. 2022,,2,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.6,4.5,,,Figure 2,2022ApJS..260....3C,44/93/08/36/WASP_43_b_3.11469_5219_139.tbl
WASP-4 b,Eclipse,Changeat et al. 2022,,2,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.6,4.5,,,Figure 2,2022ApJS..260....3C,82/74/09/58/WASP_4_b_3.11474_5219_141.tbl
WASP-74 b,Eclipse,Changeat et al. 2022,,25,Wide Field Camera 3,Hubble Space Telescope satellite,1.1263,1.6295,,,Figure 2,2022ApJS..260....3C,30/64/82/73/WASP_74_b_3.11772_5219_142.tbl
WASP-74 b,Eclipse,Changeat et al. 2022,,2,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.6,4.5,,,Figure 2,2022ApJS..260....3C,07/79/87/30/WASP_74_b_3.11772_5219_143.tbl
WASP-77 A b,Eclipse,Changeat et al. 2022,,25,Wide Field Camera 3,Hubble Space Telescope satellite,1.1263,1.6295,,,Figure 2,2022ApJS..260....3C,95/56/71/51/WASP_77_b_3.11569_5219_146.tbl
WASP-25 b,Transmission,McGruder et al. 2023,,31,Multiple Instruments,Multiple Observatories,0.4305,0.895,,,,2023AJ....166..120M,21/88/11/46/WASP_25_b_3.11453_5311_1.tbl
WASP-124 b,Transmission,McGruder et al. 2023,,33,Multiple Instruments,Multiple Observatories,0.465,0.979,,,,2023AJ....166..120M,44/43/95/84/WASP_124_b_3.11881_5311_1.tbl
CoRoT-1 b,Transmission,Jiang et al. 2023,,40,OSIRIS,Gran Telescopio CANARIAS 10.4m telescope,0.53,0.92,,,,2023A&A...675A..62J,92/39/84/15/CoRoT_1_b_3.10951_5312_1.tbl
HAT-P-18 b,Transmission,Jiang et al. 2023,,26,OSIRIS,Gran Telescopio CANARIAS 10.4m telescope,0.53,0.78,,,,2023A&A...675A..62J,07/95/45/37/HAT_P_18_b_3.11001_5312_1.tbl
HAT-P-57 b,Transmission,Jiang et al. 2023,,40,OSIRIS,Gran Telescopio CANARIAS 10.4m telescope,0.53,0.92,,,,2023A&A...675A..62J,90/15/74/52/HAT_P_57_b_3.11818_5312_1.tbl
Qatar-1 b,Transmission,Jiang et al. 2023,,40,OSIRIS,Gran Telescopio CANARIAS 10.4m telescope,0.53,0.92,,,,2023A&A...675A..62J,61/18/80/40/Qatar_1_b_3.11424_5312_1.tbl
TrES-4 b,Transmission,Jiang et al. 2023,,40,OSIRIS,Gran Telescopio CANARIAS 10.4m telescope,0.53,0.92,,,,2023A&A...675A..62J,48/53/08/59/TrES_4_b_3.11432_5312_1.tbl
WASP-2 b,Transmission,Jiang et al. 2023,,40,OSIRIS,Gran Telescopio CANARIAS 10.4m telescope,0.53,0.92,,,,2023A&A...675A..62J,89/64/25/47/WASP_2_b_3.11457_5312_1.tbl
WASP-32 b,Transmission,Jiang et al. 2023,,40,OSIRIS,Gran Telescopio CANARIAS 10.4m telescope,0.53,0.92,,,,2023A&A...675A..62J,48/63/34/36/WASP_32_b_3.11459_5312_1.tbl
WASP-36 b,Transmission,Jiang et al. 2023,,40,OSIRIS,Gran Telescopio CANARIAS 10.4m telescope,0.53,0.92,,,,2023A&A...675A..62J,72/40/57/01/WASP_36_b_3.11463_5312_1.tbl
WASP-49 b,Transmission,Jiang et al. 2023,,40,OSIRIS,Gran Telescopio CANARIAS 10.4m telescope,0.53,0.92,,,,2023A&A...675A..62J,74/66/83/30/WASP_49_b_3.11541_5312_1.tbl
WASP-156 b,Transmission,Jiang et al. 2023,,40,OSIRIS,Gran Telescopio CANARIAS 10.4m telescope,0.53,0.92,,,,2023A&A...675A..62J,77/74/14/51/WASP_156_b_3.12068_5312_1.tbl
WASP-10 b,Transmission,Jiang et al. 2023,,31,OSIRIS,Gran Telescopio CANARIAS 10.4m telescope,0.43,0.78,,,,2023A&A...675A..62J,08/10/88/06/WASP_10_b_3.11439_5312_1.tbl
WASP-39 b,Transmission,Jiang et al. 2023,,31,OSIRIS,Gran Telescopio CANARIAS 10.4m telescope,0.43,0.78,,,,2023A&A...675A..62J,38/78/69/17/WASP_39_b_3.11466_5312_1.tbl
WASP-121 b,Transmission,Wilson et al. 2021,,53,GMOS,Association of Universities for Research in Astronomy (AURA) 8.1m Gemini South Telescope at Cerro Pachon,0.525,0.945,,,,2021MNRAS.503.4787W,43/11/78/66/WASP_121_b_3.11900_5313_1.tbl
HAT-P-12 b,Transmission,Wong et al. 2020,,2,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.6,4.5,,,,2020AJ....159..234W,86/31/94/24/HAT_P_12_b_3.10993_5314_1.tbl
HAT-P-12 b,Transmission,Wong et al. 2020,,4,Space Telescope Imaging Spectrograph,Hubble Space Telescope satellite,0.374,0.54,,,STIS G430L,2020AJ....159..234W,25/81/09/10/HAT_P_12_b_3.10993_5314_2.tbl
HAT-P-12 b,Transmission,Wong et al. 2020,,12,Space Telescope Imaging Spectrograph,Hubble Space Telescope satellite,0.55,0.992,,,STIS G750L,2020AJ....159..234W,05/31/69/69/HAT_P_12_b_3.10993_5314_3.tbl
HAT-P-12 b,Transmission,Wong et al. 2020,,28,Wide Field Camera 3,Hubble Space Telescope satellite,1.11,1.65,,,WFC3 G141,2020AJ....159..234W,33/75/82/38/HAT_P_12_b_3.10993_5314_4.tbl
HAT-P-12 b,Eclipse,Wong et al. 2020,,2,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.6,4.5,,,Simultaneous fit of all four eclipses.,2020AJ....159..234W,74/23/92/87/HAT_P_12_b_3.10993_5314_5.tbl
HAT-P-41 b,Eclipse,Changeat et al. 2022,,25,Wide Field Camera 3,Hubble Space Telescope satellite,1.1263,1.6295,,,Figure 2,2022ApJS..260....3C,32/42/01/32/HAT_P_41_b_3.11534_5219_106.tbl
LTT 9779 b,Transmission,Radica et al. 2024,,227,Near Infrared Imager and Slitless Spectrograph (NIRISS),NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,0.6064,2.7286,,,SOSS mode,2024ApJ...962L..20R,11/18/58/25/LTT_9779_b_3.12596_5328_1.tbl
WASP-77 A b,Eclipse,August et al. 2023,,150,Near Infrared Spectrograph (NIRSpec) - G395H,NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,2.811,5.164,,,Table 2,2023ApJ...953L..24A,76/89/90/56/WASP_77_A_b_3.11569_5329_1.tbl
HAT-P-7 b,Eclipse,Changeat et al. 2022,,4,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.6,8.0,,,Figure 2,2022ApJS..260....3C,71/60/35/23/HAT_P_7_b_3.8_5219_111.tbl
HD 209458 b,Eclipse,Changeat et al. 2022,,25,Wide Field Camera 3,Hubble Space Telescope satellite,1.1263,1.6295,,,Figure 2,2022ApJS..260....3C,68/42/38/34/HD_209458_b_3.11218_5219_114.tbl
WASP-33 b,Eclipse,Changeat et al. 2022,,11,Wide Field Camera 3,Hubble Space Telescope satellite,1.155,1.606,,,Figure 2,2022ApJS..260....3C,07/31/68/23/WASP_33_b_3.11460_5219_136.tbl
WASP-121 b,Eclipse,Changeat et al. 2022,,2,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.6,4.5,,,Figure 2,2022ApJS..260....3C,34/36/94/34/WASP_121_b_3.11900_5219_129.tbl
WASP-4 b,Eclipse,Changeat et al. 2022,,18,Wide Field Camera 3,Hubble Space Telescope satellite,1.1262,1.6237,,,Figure 2,2022ApJS..260....3C,60/49/89/28/WASP_4_b_3.11474_5219_140.tbl
WASP-76 b,Eclipse,Changeat et al. 2022,,25,Wide Field Camera 3,Hubble Space Telescope satellite,1.1263,1.6295,,,Figure 2,2022ApJS..260....3C,11/02/04/30/WASP_76_b_3.11846_5219_144.tbl
WASP-76 b,Eclipse,Changeat et al. 2022,,2,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.6,4.5,,,Figure 2,2022ApJS..260....3C,09/99/71/28/WASP_76_b_3.11846_5219_145.tbl
