label,mist_version,rotation_v_over_vcrit,feh,log10_age_years,initial_mass_solar,log10_luminosity_solar,log10_teff_kelvin
MODEL-INFERRED,1.2,0.4,-4,8.15,0.725,-0.4393449985,3.769519912
MODEL-INFERRED,1.2,0.4,-4,8.15,0.75,-0.3744776712,3.778408709
MODEL-INFERRED,1.2,0.4,-4,8.15,0.775,-0.3095910384,3.787294137
MODEL-INFERRED,1.2,0.4,-4,8.15,0.8,-0.2446808093,3.796179975
MODEL-INFERRED,1.2,0.4,-4,8.15,0.825,-0.1797386955,3.805067506
MODEL-INFERRED,1.2,0.4,-4,8.15,0.85,-0.114770109,3.813959342
MODEL-INFERRED,1.2,0.4,-4,8.15,0.875,-0.04977138338,3.822854256
MODEL-INFERRED,1.2,0.4,-4,8.15,0.9,0.01525362958,3.831750795
MODEL-INFERRED,1.2,0.4,-4,8.15,0.925,0.08032422573,3.840648175
MODEL-INFERRED,1.2,0.4,-4,8.15,0.95,0.145403751,3.849543591
MODEL-INFERRED,1.2,0.4,-4,8.15,0.975,0.2105311092,3.858439373
MODEL-INFERRED,1.2,0.4,-4,8.15,1,0.2632807327,3.866333808
MODEL-INFERRED,1.2,0.4,-4,8.15,1.025,0.3116579807,3.874242577
MODEL-INFERRED,1.2,0.4,-4,8.15,1.05,0.3585834828,3.882460699
MODEL-INFERRED,1.2,0.4,-4,8.15,1.075,0.4042434897,3.891125618
MODEL-INFERRED,1.2,0.4,-4,8.15,1.1,0.4483755905,3.900421907
MODEL-INFERRED,1.2,0.4,-4,8.15,1.125,0.4918461618,3.909868705
MODEL-INFERRED,1.2,0.4,-4,8.15,1.15,0.5338591299,3.919322369
MODEL-INFERRED,1.2,0.4,-4,8.15,1.175,0.5748355237,3.928484814
MODEL-INFERRED,1.2,0.4,-4,8.15,1.2,0.6145614804,3.937539377
MODEL-INFERRED,1.2,0.4,-4,8.15,1.225,0.6536868065,3.946536079
MODEL-INFERRED,1.2,0.4,-4,8.15,1.25,0.6916625026,3.955200507
MODEL-INFERRED,1.2,0.4,-4,8.15,1.275,0.7285799248,3.963533173
MODEL-INFERRED,1.2,0.4,-4,8.15,1.3,0.7648522061,3.97168668
MODEL-INFERRED,1.2,0.4,-4,8.15,1.325,0.800015747,3.979495546
MODEL-INFERRED,1.2,0.4,-4,8.15,1.35,0.8339358421,3.986891863
MODEL-INFERRED,1.2,0.4,-4,8.15,1.375,0.8678885292,3.994291081
MODEL-INFERRED,1.2,0.4,-4,8.15,1.4,0.9005205493,4.001239151
MODEL-INFERRED,1.2,0.4,-4,8.15,1.425,0.9323307347,4.007896104
MODEL-INFERRED,1.2,0.4,-4,8.15,1.45,0.963328889,4.014270213
MODEL-INFERRED,1.2,0.4,-4,8.15,1.475,0.9932481454,4.020253502
