pl_name,hostname,is_control,st_age_gyr,st_mass_solar,st_feh,st_log_luminosity_solar,pl_orbsmax_au,label,status,reason,draws_requested,draws_supported,supported_fraction,age_precision_status,model_agreement,boundary_sensitivity,classification_robustness,kopparapu_conservative__p_current_hz,kopparapu_conservative__tau_hz_gyr_p16,kopparapu_conservative__tau_hz_gyr_p50,kopparapu_conservative__tau_hz_gyr_p84,kopparapu_conservative__f_chz_p16,kopparapu_conservative__f_chz_p50,kopparapu_conservative__f_chz_p84,kopparapu_moist_greenhouse__p_current_hz,kopparapu_moist_greenhouse__tau_hz_gyr_p16,kopparapu_moist_greenhouse__tau_hz_gyr_p50,kopparapu_moist_greenhouse__tau_hz_gyr_p84,kopparapu_moist_greenhouse__f_chz_p16,kopparapu_moist_greenhouse__f_chz_p50,kopparapu_moist_greenhouse__f_chz_p84,kopparapu_optimistic_empirical__p_current_hz,kopparapu_optimistic_empirical__tau_hz_gyr_p16,kopparapu_optimistic_empirical__tau_hz_gyr_p50,kopparapu_optimistic_empirical__tau_hz_gyr_p84,kopparapu_optimistic_empirical__f_chz_p16,kopparapu_optimistic_empirical__f_chz_p50,kopparapu_optimistic_empirical__f_chz_p84,history_start_gyr,history_steps,luminosity_anchor_max_abs_dex
Kepler-517 b,Kepler-517,False,6.31,0.95,-0.06,-0.01857,0.28682,MODEL-INFERRED,undetermined,stellar_age_effectively_unconstrained,256,0,0,too_broad,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-1356 b,Kepler-1356,False,4.9,0.82,-0.02,-0.4863,0.0136,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-1354 b,Kepler-1354,False,2.95,1.16,0.03,0.30208,0.3521,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-1050 c,Kepler-1050,False,3.55,1.09,0.03,0.05871,0.15264,MODEL-INFERRED,inferred,,256,215,0.83984375,supported,1,0,robustly_outside_across_prescriptions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,72,2.775557562e-17
Kepler-1407 b,Kepler-1407,False,3.24,1.1,0.05,0.27131,0.1502,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-1313 b,Kepler-1313,False,2.69,0.92,0,-0.3248,0.04619,MODEL-INFERRED,undetermined,stellar_age_effectively_unconstrained,256,0,0,too_broad,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-1359 b,Kepler-1359,False,2.34,0.78,0.11,-0.7173,0.26657,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-1360 b,Kepler-1360,False,1.55,1.51,0.06,0.92337,0.2866,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-1611 b,Kepler-1611,False,5.01,0.94,0.01,-0.113,0.0586,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-1463 b,Kepler-1463,False,4.79,0.96,0,0.09195,0.1694,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-1543 b,Kepler-1543,False,1.91,1.39,0.07,0.48688,0.0867,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-1578 b,Kepler-1578,False,4.27,0.9,-0.13,-0.16523,0.0252,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-626 b,Kepler-626,False,5.37,1.01,0.01,-0.04194,0.10913,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-1465 b,Kepler-1465,False,3.72,0.75,-0.06,-0.65202,0.1939,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-1466 b,Kepler-1466,False,3.89,1.01,-0.07,-0.02273,0.17981,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-1546 b,Kepler-1546,False,3.72,0.95,0.01,-0.12963,0.1366,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-1548 b,Kepler-1548,False,4.37,0.99,0.05,-0.30667,0.4679,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-1613 b,Kepler-1613,False,3.55,1.08,0.01,0.63777,0.02755,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-1468 c,Kepler-1468,False,3.55,1.04,0.03,0.53118,0.0466,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-1582 b,Kepler-1582,False,7.76,0.28,0.48,-2.38864,0.0316,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-1469 b,Kepler-1469,False,4.47,0.92,0.02,-0.2739,0.1466,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-633 b,Kepler-633,False,6.03,1.02,-0.05,0.16,0.08185,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-1550 b,Kepler-1550,False,3.55,1.07,0.01,0.11945,0.7681,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-1552 b,Kepler-1552,False,3.31,0.85,-0.07,-0.20141,0.6011,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-1584 b,Kepler-1584,False,3.31,1.1,0,0.25226,0.1168,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-556 b,Kepler-556,False,4.17,1,0.03,-0.04785,0.09833,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-629 b,Kepler-629,False,1.91,0.93,0.01,-0.28344,0.07107,MODEL-INFERRED,inferred,,256,255,0.99609375,supported,1,0,robustly_outside_across_prescriptions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,72,0
Kepler-630 b,Kepler-630,False,4.47,1.02,0.03,0.30233,0.56201,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-1470 b,Kepler-1470,False,4.57,0.8,-0.01,-0.48551,0.116,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-1475 b,Kepler-1475,False,2.82,1.18,0.03,0.25381,0.373,MODEL-INFERRED,undetermined,missing_required_measurement_or_uncertainty,256,0,0,missing,,,undetermined,,,,,,,,,,,,,,,,,,,,,,,,
