label,pl_name,earth2_rank,action_id,parameter,parameter_value,unit,prior_sigma,observation_sigma,expected_posterior_sigma,expected_information_gain_nats,expected_information_gain_bits,status,noise_rule,observation_model,cost_or_time,within_target_information_rank
SIMULATED,Kepler-1649 c,6,eccentricity_precision_requirement,orbital eccentricity,0,dimensionless,,,,,,undetermined_missing_measured_value_or_uncertainty,Gaussian sigma 0.03,A local Gaussian approximation to a bounded eccentricity posterior.,not_modelled,
SIMULATED,Kepler-1649 c,6,inclination_precision_requirement,orbital inclination,89.339,degrees,0.056,0.5,0.05565203822,0.006232987922,0.008992300765,synthetic_linear_gaussian,Gaussian sigma 0.5 degrees,A future independent astrometric or transit-geometry constraint.,not_modelled,3
SIMULATED,GJ 1002 c,7,mass_precision_requirement,planet mass or minimum mass,1.36,Earth masses,0.17,0.136,0.1061981581,0.4704916722,0.6787760023,synthetic_linear_gaussian,"max(0.10 * measured value, 0.10 Earth masses)",A future independent Gaussian mass-like measurement.,not_modelled,1
SIMULATED,GJ 1002 c,7,radius_precision_requirement,planet radius,1.1,Earth radii,,,,,,undetermined_missing_measured_value_or_uncertainty,"max(0.02 * measured value, 0.01 Earth radii)",A future independent Gaussian radius measurement.,not_modelled,
SIMULATED,GJ 1002 c,7,stellar_radius_precision_requirement,stellar radius,0.137,Solar radii,0.005,0.005,0.003535533906,0.3465735903,0.5,synthetic_linear_gaussian,"max(0.01 * measured value, 0.005 Solar radii)",A future independent Gaussian stellar-radius measurement.,not_modelled,2
SIMULATED,GJ 1002 c,7,stellar_age_precision_requirement,stellar age,,Gyr,,,,,,undetermined_missing_measured_value_or_uncertainty,"max(0.20 * measured value, 0.20 Gyr)",A future independent Gaussian stellar-age constraint.,not_modelled,
SIMULATED,GJ 1002 c,7,eccentricity_precision_requirement,orbital eccentricity,,dimensionless,,,,,,undetermined_missing_measured_value_or_uncertainty,Gaussian sigma 0.03,A local Gaussian approximation to a bounded eccentricity posterior.,not_modelled,
SIMULATED,GJ 1002 c,7,inclination_precision_requirement,orbital inclination,,degrees,,,,,,undetermined_missing_measured_value_or_uncertainty,Gaussian sigma 0.5 degrees,A future independent astrometric or transit-geometry constraint.,not_modelled,
SIMULATED,Kepler-1229 b,8,mass_precision_requirement,planet mass or minimum mass,2.54,Earth masses,,,,,,undetermined_missing_measured_value_or_uncertainty,"max(0.10 * measured value, 0.10 Earth masses)",A future independent Gaussian mass-like measurement.,not_modelled,
SIMULATED,Kepler-1229 b,8,radius_precision_requirement,planet radius,1.4,Earth radii,0.12,0.028,0.02726755387,1.48179425,2.137777216,synthetic_linear_gaussian,"max(0.02 * measured value, 0.01 Earth radii)",A future independent Gaussian radius measurement.,not_modelled,3
SIMULATED,Kepler-1229 b,8,stellar_radius_precision_requirement,stellar radius,0.51,Solar radii,0.029,0.0051,0.005022918375,1.753284716,2.529455165,synthetic_linear_gaussian,"max(0.01 * measured value, 0.005 Solar radii)",A future independent Gaussian stellar-radius measurement.,not_modelled,1
SIMULATED,Kepler-1229 b,8,stellar_age_precision_requirement,stellar age,3.72,Gyr,3.695,0.744,0.729361606,1.622566194,2.340868202,synthetic_linear_gaussian,"max(0.20 * measured value, 0.20 Gyr)",A future independent Gaussian stellar-age constraint.,not_modelled,2
SIMULATED,Kepler-1229 b,8,eccentricity_precision_requirement,orbital eccentricity,0,dimensionless,,,,,,undetermined_missing_measured_value_or_uncertainty,Gaussian sigma 0.03,A local Gaussian approximation to a bounded eccentricity posterior.,not_modelled,
SIMULATED,Kepler-1229 b,8,inclination_precision_requirement,orbital inclination,89.9971,degrees,0.0301,0.5,0.030045606,0.001808744495,0.002609466713,synthetic_linear_gaussian,Gaussian sigma 0.5 degrees,A future independent astrometric or transit-geometry constraint.,not_modelled,4
SIMULATED,GJ 667 C f,9,mass_precision_requirement,planet mass or minimum mass,2.7,Earth masses,1.3,0.27,0.2643584992,1.59281341,2.297944008,synthetic_linear_gaussian,"max(0.10 * measured value, 0.10 Earth masses)",A future independent Gaussian mass-like measurement.,not_modelled,1
SIMULATED,GJ 667 C f,9,radius_precision_requirement,planet radius,1.45,Earth radii,,,,,,undetermined_missing_measured_value_or_uncertainty,"max(0.02 * measured value, 0.01 Earth radii)",A future independent Gaussian radius measurement.,not_modelled,
SIMULATED,GJ 667 C f,9,stellar_radius_precision_requirement,stellar radius,,Solar radii,,,,,,undetermined_missing_measured_value_or_uncertainty,"max(0.01 * measured value, 0.005 Solar radii)",A future independent Gaussian stellar-radius measurement.,not_modelled,
SIMULATED,GJ 667 C f,9,stellar_age_precision_requirement,stellar age,2,Gyr,,,,,,undetermined_missing_measured_value_or_uncertainty,"max(0.20 * measured value, 0.20 Gyr)",A future independent Gaussian stellar-age constraint.,not_modelled,
SIMULATED,GJ 667 C f,9,eccentricity_precision_requirement,orbital eccentricity,0.03,dimensionless,0.095,0.03,0.02860747995,1.200208671,1.731535098,synthetic_linear_gaussian,Gaussian sigma 0.03,A local Gaussian approximation to a bounded eccentricity posterior.,not_modelled,2
SIMULATED,GJ 667 C f,9,inclination_precision_requirement,orbital inclination,,degrees,,,,,,undetermined_missing_measured_value_or_uncertainty,Gaussian sigma 0.5 degrees,A future independent astrometric or transit-geometry constraint.,not_modelled,
