kepid,kepoi_name,TCE_ID,koi_disposition,koi_pdisposition,koi_period,koi_period_err1,koi_period_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_model_snr,koi_score,fpp_prob,astrophysical_planet_probability,astrophysical_planet_probability_label,observed_tce_disposition,observed_tce_mes,published_comparison_box,robovetter_score_is_candidate_reliability,false_alarm_reliability,total_candidate_reliability,reliability_status
4912650,K05098.01,004912650-01,CANDIDATE,CANDIDATE,100.345648,0.001295,-0.001295,1.57,0.11,-0.08,15.2,0.923,0.015,0.985,MODEL-INFERRED,PC,10.7829,False,False,,,pending_validated_smooth_false_alarm_model
10026502,K04706.01,010026502-01,CONFIRMED,CANDIDATE,101.952048,0.001733,-0.001733,1.31,0.42,-0.15,10.3,0.665,0.0039,0.9961,MODEL-INFERRED,PC,10.029,False,False,,,pending_validated_smooth_false_alarm_model
6387557,K05279.01,006387557-01,CANDIDATE,CANDIDATE,103.722152,0.00234,-0.00234,1.95,0.32,-0.23,9.4,0.765,0.011,0.989,MODEL-INFERRED,PC,7.9219,False,False,,,pending_validated_smooth_false_alarm_model
4247991,K02311.03,004247991-01,CONFIRMED,CANDIDATE,104.3519624,0.0006973,-0.0006973,1.39,0.2,-0.06,15.8,0.976,0.0072,0.9928,MODEL-INFERRED,PC,12.5548,False,False,,,pending_validated_smooth_false_alarm_model
10610039,K04577.01,010610039-01,CANDIDATE,CANDIDATE,105.997107,0.001265,-0.001265,1.83,0.52,-0.14,10.9,0.695,0.24,0.76,MODEL-INFERRED,PC,10.3717,False,False,,,pending_validated_smooth_false_alarm_model
5184911,K02719.02,005184911-02,CANDIDATE,CANDIDATE,106.25976,0.002607,-0.002607,1.5,0.1,-0.16,7.7,0.99,0.04,0.96,MODEL-INFERRED,PC,10.0224,False,False,,,pending_validated_smooth_false_alarm_model
9205938,K02162.01,009205938-01,CONFIRMED,CANDIDATE,108.593113,0.00113,-0.00113,1.68,0.21,-0.21,24.3,1,0.00013,0.99987,MODEL-INFERRED,PC,20.2338,False,False,,,pending_validated_smooth_false_alarm_model
6021275,K00284.04,006021275-04,CONFIRMED,CANDIDATE,110.2867031,0.0007428,-0.0007428,1.41,0.2,-0.23,16.4,0.844,0.0035,0.9965,MODEL-INFERRED,PC,9.9589,False,False,,,pending_validated_smooth_false_alarm_model
10658177,K05817.01,010658177-01,CANDIDATE,CANDIDATE,113.083522,0.002385,-0.002385,1.59,0.28,-0.31,13,0.95,0.00076,0.99924,MODEL-INFERRED,PC,9.2867,False,False,,,pending_validated_smooth_false_alarm_model
9002278,K00701.03,009002278-03,CONFIRMED,CANDIDATE,122.3858681,0.0005022,-0.0005022,1.72,0.1,-0.07,46.3,0.994,0.0028,0.9972,MODEL-INFERRED,PC,35.9406,False,False,,,pending_validated_smooth_false_alarm_model
7770901,K05426.01,007770901-01,CANDIDATE,CANDIDATE,124.887214,0.002758,-0.002758,1.78,0.49,-0.5,13.3,0.99,0.011,0.989,MODEL-INFERRED,PC,10.1577,False,False,,,pending_validated_smooth_false_alarm_model
