period_days,planet_radius_earth,target_stars,mean_transit_geometry,mean_phase_window,mean_pipeline_including_window,mean_vetting_given_recovered,mean_pipeline_and_vetting,mean_total_selection,effective_stars,fraction_impact_target_evaluations_below_mes_training,fraction_impact_target_evaluations_above_mes_training,label
140.919146563,0.594603557501,114105,0.00830725275603,0.933272582355,0.000848889370345,0.0615261444345,0.000707429743675,5.32814147893e-06,0.607967583453,6.67433113044e-05,0,MODEL-INFERRED
158.113883008,0.594603557501,114105,0.00769350235666,0.93004485155,0.00068386954244,0.0537276063773,0.000564470424768,3.91499910274e-06,0.446720972618,6.8819704846e-05,0,MODEL-INFERRED
177.406694617,0.594603557501,114105,0.0071250966174,0.926004353283,0.000545453614827,0.0462938000022,0.000445120933328,2.84220757566e-06,0.324310095421,7.08960983875e-05,0,MODEL-INFERRED
199.053585277,0.594603557501,114105,0.0065986854171,0.919767369993,0.000430402514745,0.0393332827509,0.000346475338844,2.03629355715e-06,0.232351276339,7.44271258357e-05,0,MODEL-INFERRED
223.341796075,0.594603557501,114105,0.00611116614581,0.909806396412,0.000335443191045,0.0329455557045,0.000265586776286,1.43632155089e-06,0.163891470565,8.31909836859e-05,0,MODEL-INFERRED
250.593616814,0.594603557501,114105,0.00565966541834,0.895237874828,0.000257641978199,0.0272110194819,0.000199864005396,9.94307239756e-07,0.113455427592,9.36357212159e-05,0,MODEL-INFERRED
281.170662595,0.594603557501,114105,0.00524152213887,0.872007338015,0.000194433427732,0.0221443972755,0.000147024323253,6.72630493681e-07,0.0767505024815,9.57121147574e-05,0,MODEL-INFERRED
315.47867224,0.594603557501,114105,0.00485427181671,0.831351860655,0.000143694887334,0.0177281357111,0.000105168093578,4.42302275352e-07,0.050468901129,0.000105267000331,0,MODEL-INFERRED
353.972892192,0.594603557501,114105,0.00449563204088,0.781185292645,0.000103553566266,0.0139959623349,7.2734683852e-05,2.81107617568e-07,0.0320757847026,0.000117829977951,0,MODEL-INFERRED
397.164117362,0.594603557501,114105,0.00416348902784,0.689755418902,7.24836876584e-05,0.0108605332207,4.82833628312e-05,1.7138586382e-07,0.0195559839912,0.000132617693927,0,MODEL-INFERRED
445.625469067,0.594603557501,114105,0.00385588516304,0.586629428192,4.92301717806e-05,0.00830340439999,3.06937548076e-05,9.9941824196e-08,0.0114038618499,0.000156621759299,0,MODEL-INFERRED
500,0.594603557501,114105,0.003571007463,0.467805678071,3.24427349786e-05,0.00624782059492,1.86390448441e-05,5.55736984703e-08,0.00634123686396,0.00017306943168,0,MODEL-INFERRED
