draw,estimand,unsupported_reliability_scenario,integrated_rate,alpha,beta,imputed_valid_candidate_count,shape_weighted_effective_stars,label,gamma_earth_per_dlnp_dlnr,full_model_projected_hsu_box_rate,full_model_projected_bryson_earth_box_rate
1698,full_fixed_box,lower,0.340389885141,0.3,0.15,52,118.895478285,MODEL-INFERRED,0.134155587119,0.068978215963,0.0218706360504
1699,full_fixed_box,lower,0.700120575064,0.6,-0.6,52,68.1065904745,MODEL-INFERRED,0.325701873237,0.15946635554,0.0538106380357
1700,full_fixed_box,lower,0.610273280319,0.15,-0.75,50,81.0234109055,MODEL-INFERRED,0.206277221536,0.102423342555,0.0344679881808
1701,full_fixed_box,lower,0.569115095237,0.3,-0.6,60,80.0673958988,MODEL-INFERRED,0.218356598936,0.108147651248,0.036230203963
1702,full_fixed_box,lower,0.447930373113,0,-0.3,49,111.348684995,MODEL-INFERRED,0.139320169469,0.0709588346172,0.0230593996667
1703,full_fixed_box,lower,0.760780939101,0.15,-0.75,54,83.1332789812,MODEL-INFERRED,0.257150007015,0.12768333343,0.0429685999088
1704,full_fixed_box,lower,0.433819133859,0.3,-0.6,49,83.881530821,MODEL-INFERRED,0.166446596507,0.0824376664511,0.0276171829465
1705,full_fixed_box,lower,1.10510844766,0,-1.5,60,56.6294677597,MODEL-INFERRED,0.290889083007,0.144090265591,0.0500730565977
1706,full_fixed_box,lower,1.25924626653,0.6,-1.5,53,41.9932752757,MODEL-INFERRED,0.506523786178,0.244170441271,0.086343241666
1707,full_fixed_box,lower,0.293678384194,0.15,0.75,54,161.604611022,MODEL-INFERRED,0.0992656291375,0.0538407329044,0.0160867008819
1708,full_fixed_box,lower,0.784787728617,0.3,-1.05,54,63.2831250227,MODEL-INFERRED,0.284106163101,0.139072098593,0.047816587119
1709,full_fixed_box,lower,4.09933154071,0.75,-2.7,62,16.2630449851,MODEL-INFERRED,1.25753104479,0.619915443247,0.226912381621
1710,full_fixed_box,lower,0.987468138132,0.45,-1.2,53,52.3424427131,MODEL-INFERRED,0.385347553909,0.187048287116,0.065055743048
1711,full_fixed_box,lower,0.322738913924,-0.45,-0.3,50,138.692832005,MODEL-INFERRED,0.0658822727308,0.0346242503624,0.0110203099278
1712,full_fixed_box,lower,0.410882555779,0,0,50,128.208312147,MODEL-INFERRED,0.128720156187,0.0666085118059,0.0211618451826
1713,full_fixed_box,lower,0.522295776715,0.3,0.15,49,113.795104699,MODEL-INFERRED,0.205848938624,0.105840486029,0.0335584027077
1714,full_fixed_box,lower,0.500985078975,0.3,0,58,109.270781947,MODEL-INFERRED,0.197805833536,0.100765125522,0.0323410762095
1715,full_fixed_box,lower,0.666226923421,0.6,-0.3,54,78.4362980122,MODEL-INFERRED,0.316659345786,0.156953431335,0.0519012882686
1716,full_fixed_box,lower,1.76607599444,0.45,-1.8,54,36.7953255517,MODEL-INFERRED,0.602508996938,0.29247114416,0.104240409484
1717,full_fixed_box,lower,0.841343762634,0.3,-1.2,53,60.2749933372,MODEL-INFERRED,0.296767602659,0.144958677326,0.0502162910609
1718,full_fixed_box,lower,0.890918907127,0.3,-0.9,53,70.5107780923,MODEL-INFERRED,0.329944031337,0.161998990638,0.0552510628837
1719,full_fixed_box,lower,0.304874065063,-0.3,-0.6,46,114.251320966,MODEL-INFERRED,0.0707806530941,0.0363248613969,0.0118887899317
