kepid,kepoi_name,TCE_ID,koi_disposition,koi_pdisposition,koi_period,koi_prad,observed_tce_mes,koi_score,fpp_prob,astrophysical_planet_probability,false_alarm_reliability_p025,false_alarm_reliability_p50,false_alarm_reliability_p975,total_candidate_reliability_p025,total_candidate_reliability_p50,total_candidate_reliability_p975,published_comparison_box,robovetter_score_is_candidate_reliability,reliability_status,false_alarm_reliability_label,total_candidate_reliability_label
8349399,K04763.01,008349399-01,CANDIDATE,CANDIDATE,56.446465,1.57,8.8675,0.903,0.0043,0.9957,0.8032688232,0.9424116957,0.9856137976,0.7998147673,0.9383593254,0.9813756582,False,False,validated_model_conditional_on_fixed_fpp,MODEL-INFERRED,MODEL-INFERRED
7663405,K01519.02,007663405-02,CANDIDATE,CANDIDATE,57.132855,1.81,8.4943,0.742,0.12,0.88,0.7530181299,0.9225457511,0.9797018245,0.6626559543,0.8118402609,0.8621376055,False,False,validated_model_conditional_on_fixed_fpp,MODEL-INFERRED,MODEL-INFERRED
5942949,K02525.01,005942949-01,CONFIRMED,CANDIDATE,57.2932309,1.95,11.2588,0.833,0.0013,0.9987,0.9462363609,0.9885046504,0.9976722159,0.9450062536,0.9872195943,0.996375242,False,False,validated_model_conditional_on_fixed_fpp,MODEL-INFERRED,MODEL-INFERRED
12785320,K00298.02,012785320-02,CANDIDATE,CANDIDATE,57.3840375,1.62,17.3706,0.915,0.013,0.987,0.9883973904,0.9992438739,0.9999524259,0.9755482244,0.9862537035,0.9869530444,False,False,validated_model_conditional_on_fixed_fpp,MODEL-INFERRED,MODEL-INFERRED
11360805,K02422.02,011360805-02,CANDIDATE,CANDIDATE,57.3888262,1.88,7.9999,0.852,0.017,0.983,0.6707688945,0.8879357573,0.9704407481,0.6593658233,0.8728408494,0.9539432553,False,False,validated_model_conditional_on_fixed_fpp,MODEL-INFERRED,MODEL-INFERRED
10933306,K05842.01,010933306-01,CANDIDATE,CANDIDATE,57.7749373,1.85,8.859,0.995,0.018,0.982,0.8015419275,0.9387600173,0.9837117635,0.7871141728,0.921862337,0.9660049517,False,False,validated_model_conditional_on_fixed_fpp,MODEL-INFERRED,MODEL-INFERRED
11125797,K03371.01,011125797-01,CANDIDATE,CANDIDATE,58.1263775,1.32,10.819,0.998,0.0044,0.9956,0.9337011158,0.9841181317,0.996442623,0.9295928309,0.9797880119,0.9920582754,False,False,validated_model_conditional_on_fixed_fpp,MODEL-INFERRED,MODEL-INFERRED
10467714,K04480.01,010467714-01,CANDIDATE,CANDIDATE,58.7488629,1.75,11.5944,1,0.013,0.987,0.9532003362,0.9900428419,0.9979793541,0.9408087319,0.977172285,0.9850056225,False,False,validated_model_conditional_on_fixed_fpp,MODEL-INFERRED,MODEL-INFERRED
9071593,K02257.02,009071593-02,CONFIRMED,CANDIDATE,59.284064,1.81,10.6643,0.514,0.0021,0.9979,0.9277632627,0.9815336043,0.9955730716,0.9258149599,0.9794723837,0.9934823682,False,False,validated_model_conditional_on_fixed_fpp,MODEL-INFERRED,MODEL-INFERRED
2577353,K07635.01,002577353-01,CANDIDATE,CANDIDATE,60.458443,1.59,8.2247,0.872,0.11,0.89,0.7090387461,0.8934224518,0.9683387258,0.631044484,0.7951459821,0.861821466,False,False,validated_model_conditional_on_fixed_fpp,MODEL-INFERRED,MODEL-INFERRED
