estimand,node_index,period_days,planet_radius_earth,log_quadrature_weight,effective_stars,label,gradient::mes::intercept,gradient::mes::log_raw_mes,gradient::mes::log_period,gradient::mes::log_duration,gradient::mes::duty_cycle,gradient::mes::log_dataspan,gradient::mes::cdpp_slope_long,gradient::mes::cdpp_slope_short,gradient::mes::log_stellar_radius,gradient::mes::stellar_logg,gradient::mes::stellar_teff_offset_1000k,gradient::pipeline::intercept,gradient::pipeline::log_mes_over_7,gradient::pipeline::log_period_scaled,gradient::pipeline::window_logit_scaled,gradient::pipeline::log_period_scaled_squared,gradient::vetting::intercept,gradient::vetting::log_mes_over_7,gradient::vetting::log_period_scaled,gradient::vetting::window_logit_scaled,gradient::vetting::log_period_scaled_squared
full_fixed_box,10,348.832111469,0.506431611475,0.00591817020468,0.00527297860917,MODEL-INFERRED,0.0361475921113,0.0597104308797,0.211629358428,0.0810337849596,0.0307922957727,0.263342112132,-0.00493815231769,-0.0177251895254,-0.0121698331589,0.165342990329,-0.00571868527837,0.00429094944889,-0.000536457605164,0.00294913911113,0.000847296156483,0.00202692238638,0.00177794234958,-0.000316793752658,0.00122196716203,0.000352056139387,0.000839849360376
full_fixed_box,11,409.798780688,0.506431611475,0.00457476523763,0.00222044687429,MODEL-INFERRED,0.016405905527,0.026704515869,0.0986924523503,0.0375122071281,0.0140047844612,0.119520585657,-0.00262761540704,-0.00835899120959,-0.00589999907099,0.0752191544202,-0.0030124315112,0.001915930835,-0.000286719449591,0.00158486050629,0.000203976210883,0.00131099869501,0.000896064954032,-0.000179368940772,0.000741226108363,9.53389895997e-05,0.000613143211602
full_fixed_box,12,460.455268143,0.506431611475,0.00301768222402,0.00112648820578,MODEL-INFERRED,0.00873059072187,0.014048706303,0.0535378656119,0.020232225766,0.00746882675795,0.0636043692921,-0.00159457548332,-0.00460205455688,-0.00329921418653,0.040106404718,-0.00178269448329,0.00100596066503,-0.000169678132433,0.000933968973008,6.30748868824e-05,0.0008671293748,0.000515333616005,-0.000111909636383,0.000478453705823,3.20785901699e-05,0.000444213110704
full_fixed_box,13,492.166340406,0.506431611475,0.0013221294933,0.000749217213279,MODEL-INFERRED,0.0059542688098,0.00951682879385,0.0369094212299,0.0139014022075,0.00510054232041,0.0433782617538,-0.00117208802294,-0.00320398807401,-0.00231433411555,0.0273844228884,-0.00129016120418,0.000680492598728,-0.000122344192516,0.000671158832063,2.60598130677e-05,0.000661953089128,0.000367200235905,-8.33230955271e-05,0.000362163647223,1.38236017953e-05,0.000357196141355
full_fixed_box,14,50.7958345534,0.534359563274,0.00299706685149,2.40676422349,MODEL-INFERRED,9.66623504789,16.6997163957,37.9671767726,16.5753336565,8.21959070765,70.4012694709,-1.28239142404,-4.98151275865,-1.49443229313,43.4195219207,0.917471948638,1.19262269157,-0.0060771716764,-1.17626445058,1.82644295419,1.16013058236,0.347826210144,-0.00717505396783,-0.343055359305,0.532666309692,0.338349946369
full_fixed_box,15,54.2940905005,0.534359563274,0.00684062749359,2.14768675469,MODEL-INFERRED,8.6612830986,14.8796519297,34.5967625102,15.0191000593,7.36698796644,63.0826721707,-1.16123798216,-4.47387138231,-1.37089401624,38.9219833931,0.773903298091,1.07047258657,-0.0174477668511,-0.993864091374,1.63901308577,0.922738092052,0.306463870633,-0.01047972807,-0.284531748078,0.469195040516,0.264169200426
full_fixed_box,16,61.0055499873,0.534359563274,0.0103702983078,1.74047400804,MODEL-INFERRED,7.07039705504,12.0385411532,29.0661537224,12.494850241,6.01667196792,51.4968270509,-0.963725102674,-3.66178669934,-1.16759228201,31.7978750069,0.557957792831,0.875957577699,-0.0301937466469,-0.724593260218,1.34034246004,0.599384497743,0.244221425803,-0.013701584237,-0.202020284593,0.373648947527,0.167111445086
full_fixed_box,17,71.6677140035,0.534359563274,0.0134155934285,1.27160247944,MODEL-INFERRED,5.21362522932,8.78697416032,22.2728173669,9.44683813151,4.43979942369,37.9742826796,-0.724726635394,-2.70224654802,-0.914880109161,23.4744737179,0.327699029918,0.647252661676,-0.0363650401576,-0.44485216199,0.981572846075,0.305743734626,0.17632311892,-0.01449370137,-0.121185628588,0.267375139499,0.0832900226939
full_fixed_box,18,87.3666505591,0.534359563274,0.0158336994791,0.831620208451,MODEL-INFERRED,3.4415428214,5.74888134098,15.3840874993,6.42149526344,2.93388480255,25.0680167711,-0.487721709381,-1.77727365155,-0.650546285734,15.5180643897,0.144396167401,0.427515093595,-0.0330000606708,-0.220276568997,0.633659565905,0.113497201798,0.115657363266,-0.0124422925085,-0.0595922987073,0.171300297435,0.0307048506464
full_fixed_box,19,109.499924536,0.534359563274,0.0175114739175,0.489719369183,MODEL-INFERRED,2.04905798609,3.40933330917,9.62222028759,3.94823884956,1.74929136375,14.9258589786,-0.294149534469,-1.04853002431,-0.420610003119,9.25445811323,0.0369492429336,0.254182040486,-0.0231700251092,-0.0811126330783,0.36969097196,0.0258840444916,0.0698664431228,-0.00880804484196,-0.0222952461735,0.101321351922,0.00711468882225
full_fixed_box,20,139.618359241,0.534359563274,0.0183704462838,0.262049596191,MODEL-INFERRED,1.12320920151,1.87826086422,5.54743218435,2.23869382348,0.960388081093,8.18205245211,-0.161292390923,-0.568102314418,-0.251078723502,5.08180913813,-0.00571257461157,0.138639698716,-0.012587115332,-0.0149807055336,0.147157071421,0.00161873936803,0.0402537550222,-0.00523663053684,-0.0043496174342,0.0425359267578,0.000469997688749
full_fixed_box,21,179.059545865,0.534359563274,0.0183704462838,0.128878967045,MODEL-INFERRED,0.586444694599,0.991448885028,3.04230993802,1.20896482554,0.501585879591,4.27210478366,-0.0823691120212,-0.29279805905,-0.143154064059,2.65853392973,-0.0171747969867,0.0719552332036,-0.00575556404497,0.00777511903304,0.0534476694677,0.000840140088309,0.0222335896786,-0.0027687252751,0.0024024493923,0.0164400639642,0.000259596545857
full_fixed_box,22,228.310659629,0.534359563274,0.0175114739175,0.0584766073978,MODEL-INFERRED,0.29273100762,0.499591842374,1.58973640356,0.622981089568,0.25004314522,2.13252175293,-0.0393160786677,-0.143479316235,-0.078407737909,1.33015237055,-0.0180535099126,0.0356400468459,-0.00250460046992,0.0113731797777,0.0171741305178,0.00362932234111,0.0118813889162,-0.00139344967048,0.0037914981632,0.00571280956306,0.00120991396064
